USER_ID,pageview_news_dur,pageview_movies_dur,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920
434,1313,"","","","",1,"","","",""
439,1263,"","","","",1,"","","",""
443,1147,"","","","",1,"","","",""
585,1228,"","","","",1,"","","",""
956,1262,"","","","",1,"","","",""
428,-430,"",1,1,1,1,"","","",""
957,1263,"","","","",1,"","","",""
438,1150,"","","","",1,"","","",""
706,1262,"","","","",1,"","","",""
467,1334,"","","","",1,"","","",""
543,1262,"","","","",1,"","","",""
693,1212,"","","","",1,"","","",""
239,1263,"","","","",1,"","","",""
885,1009,"","","","",1,"","","",""
77,320,"","","",1,1,"","","",""
589,1361,"","","","",1,"","","",""
658,770,"","","",4,30,"","","",""
267,1263,"","","","",1,"","","",""
527,1263,"","","","",1,"","","",""
45,1263,"","","","",1,"","","",""
569,1114,"","","","",1,"","","",""
38,362,"","","",1,1,"","","",""
418,1170,"","","","",1,"","","",""
82,320,"","","",1,1,"","","",""
364,933,"","","","",1,"","","",""
288,1014,"","","","",9,"","","",""
576,1164,"","","","",1,"","","",""
703,-561,"",1,1,1,1,"","","",""
80,320,"","","",1,1,"","","",""
240,"",1349,"","","","","","","",1
889,1262,"","","","",1,"","","",""
25,1262,"","","","",1,"","","",""
427,1262,"","","","",1,"","","",""
591,1278,"","","","",1,"","","",""
113,684,"","","",1,1,"","","",""
237,1262,"","","","",1,"","","",""
895,1345,"","","","",1,"","","",""
645,1262,"","","","",1,"","","",""
160,1002,"","","","",3,"","","",""
893,1263,"","","","",1,"","","",""
921,1339,"","","","",1,"","","",""
156,1262,"","","","",1,"","","",""
697,1155,"","","","",1,"","","",""
967,820,"","","","",1,"","","",""
477,1199,"","","","",1,"","","",""
968,1339,"","","","",1,"","","",""
29,1014,"","","","",1,"","","",""
226,1229,"","","","",1,"","","",""
651,1262,"","","","",1,"","","",""
526,1356,"","","","",1,"","","",""
528,949,"","","","",1,"","","",""
653,1352,"","","","",1,"","","",""
710,1014,1259,1,1,18,161,"","","",7
550,1262,"","","","",1,"","","",""
256,1364,"","","","",1,"","","",""
911,1262,"","","","",1,"","","",""
287,1292,"","","","",1,"","","",""
595,"",1305,"","","","","","","",1
32,1324,"","","","",1,"","","",""
90,320,"","","",1,1,"","","",""
622,1350,"","","","",1,"","","",""
382,313,"","","",1,30,"","","",""
469,1191,"","","","",1,"","","",""
621,1342,"","","","",1,"","","",""
630,1262,"","","","",1,"","","",""
151,1286,"","","","",1,"","","",""
414,1359,"","","","",1,"","","",""
433,1263,"","","","",1,"","","",""
608,1262,"","","","",1,"","","",""
899,1308,"","","","",1,"","","",""
592,"",1305,"","","","","","","",1
953,1261,"","","","",1,"","","",""
272,1009,"","","","",10,"","","",""
376,1183,"","","","",1,"","","",""
109,1364,"","","","",1,"","","",""
254,1262,"","","","",1,"","","",""
378,1216,"","","","",1,"","","",""
213,1014,"","","",2,10,"","","",""
478,1349,"","","","",1,"","","",""
534,1263,"","","","",1,"","","",""
655,1342,"","","","",1,"","","",""
997,1359,"","","","",1,"","","",""
303,1262,"","","","",1,"","","",""
426,1263,"","","","",1,"","","",""
574,1355,"","","","",1,"","","",""
702,1263,"","","","",1,"","","",""
708,1199,"","","","",1,"","","",""
304,1350,"","","","",1,"","","",""
536,1280,"","","","",1,"","","",""
611,1338,"","","","",1,"","","",""
612,1234,"","","","",1,"","","",""
105,320,"","","",1,1,"","","",""
298,1009,"","","","",1,"","","",""
913,1342,"","","","",1,"","","",""
33,1263,"","","","",1,"","","",""
421,1262,"","","","",1,"","","",""
575,803,"","","","",1,"","","",""
888,1009,"","","","",1,"","","",""
83,320,"","","",1,1,"","","",""
110,1364,"","","","",1,"","","",""
150,1281,"","","","",1,"","","",""
413,1163,"","","","",1,"","","",""
541,1262,"","","","",1,"","","",""
106,320,"","","",1,1,"","","",""
116,1263,"","","","",1,"","","",""
147,1355,"","","","",1,"","","",""
546,685,"","","",1,1,"","","",""
600,1257,"","","","",1,"","","",""
424,1188,"","","","",1,"","","",""
657,1314,"","","","",1,"","","",""
379,845,"","","","",1,"","","",""
965,1263,"","","","",1,"","","",""
971,1263,"","","","",1,"","","",""
158,1263,"","","","",1,"","","",""
242,1009,"","","",3,11,"","","",""
270,1263,"","","","",1,"","","",""
284,1263,"","","","",1,"","","",""
