USER_ID,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920,pageview_news_dur,pageview_movies_dur
972,"","","",1,"","","","",1263,""
226,"","","",1,"","","","",1229,""
504,"","","",1,"","","","",1263,""
569,"","","",1,"","","","",1114,""
693,"","","",1,"","","","",1212,""
80,"","",1,1,"","","","",320,""
301,"","","",1,"","","","",1202,""
611,"","","",1,"","","","",1338,""
707,"","","",1,"","","","",1263,""
920,"","","",1,"","","","",1014,""
45,"","","",1,"","","","",1263,""
542,"","","",1,"","","","",1262,""
572,"","","",1,"","","","",1365,""
881,"","","",1,"","","","",1357,""
918,"","","",1,"","","","",1250,""
898,"","","",1,"","","","",1308,""
438,"","","",1,"","","","",1150,""
699,"","","",1,"","","","",1265,""
